GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100108081,51,10808,1,0.142076503,0.327608639,0.023419204,0.351808483,0.443924018,0.116575592,0.087419056,1.352941176,0.091666667,0.6125,167200,21804,0.074951954
G13005100108082,51,10808,2,0.095054096,0.389489954,0.017001546,0.183925811,0.627511592,0.482225657,0.65915493,1.52,0.463592233,0.628640777,132200,9323,0.548543689
G13005100108083,51,10808,3,0.027123166,0.137394398,0.038239217,0.513116941,0.557136505,0.195197866,0.18076689,3.104895105,0.165388828,0.293537788,153600,28063,0.262054507
G13005100108084,51,10808,4,0.122938531,0.197901049,0.089355322,0.35982009,0.375412294,0.092353823,0.060671256,0.86919105,0.142975207,0.434710744,136400,26808,0.175832127
G13005100108091,51,10809,1,0.080525535,0.1640178,0.197287561,0.097478279,0.21890231,0.075651621,0.100235849,6.579661017,0.033579966,0.144564599,271400,39449,0.031824963
G13005100108092,51,10809,2,0.075335689,0.306855124,0.033639576,0.479434629,0.504028269,0.042120141,0.052880288,3.311983471,0.07745866,0.439947781,158700,22033,0.102634683
G13005100109011,51,10901,1,0.082733813,0.305241521,0.121274409,0.360739979,0.417266187,0.237923947,0.247181965,1.03125,0.248285322,0.604938272,,16548,0.285057471
G13005100109012,51,10901,2,0.080602883,0.234600262,0.0491481,0.584534731,0.591087811,0.173001311,0.179800222,0.946745562,0.45819398,0.986622074,,14148,0.017964072
G13005100109013,51,10901,3,0.095179234,0.156983931,0.199011125,0.317676143,0.333745365,0.003708282,0.067434211,1.801724138,0.176904177,0.474201474,125800,26412,0
G13005100110031,51,11003,1,0.044564153,0.148383937,0.200783546,0.295298727,0.33006856,0.075416259,0.072818581,2.492307692,0,0.116154873,201200,32441,0
G13005100110032,51,11003,2,0.052866716,0.120625465,0.087862993,0.13179449,0.13179449,0.195085629,0.356205853,1.180451128,0.125874126,0.324009324,137300,22100,0.354085603
G13005100110033,51,11003,3,0.041237113,0.230442693,0.114614918,0,0.016979988,0,0.155129274,1.111111111,0.236397749,0.300187617,159000,20761,0.122241087
G13005100110034,51,11003,4,0.059097978,0.276827372,0.202177294,0.265940902,0.265940902,0.136858476,0.252336449,0.721804511,0.217665615,0.447949527,,23123,0.257831325
G13005100110035,51,11003,5,0,0.191419142,0.159515952,0.02640264,0.053905391,0,0.048476454,3.294117647,0.09178744,0.028985507,357600,33073,0
